"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"1007";0;4450155;0;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";4450155;0;9011.67822661643;7873.05;2985;5438.94561113957;4831.63;2258;6525.09726945467;4724.06;2970;5517.74382723235;4560.41;2582;3945.48752810722;4999.3;2104;195;14615;0;70;45;155;11035;0;70;30;125;14690;0;5;30;55;11585;0;1235;35;30;10415;0;60;15
"1008";0;339112;0;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";339112;0;872.622273181494;893.24;912;448.720404275399;691.36;490;575.187727027355;746.22;432;3926.7667317555;1158.76;710;1962.42061267325;4831.11;952;10;4535;0;0;15;20;2430;0;0;0;0;2155;0;5;0;0;2890;0;660;0;0;4475;0;285;0
"101";0;399907;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";399907;0;863.359641687185;2408.01;1004;1476.78616592362;3151.8;887;1892.45126975313;1793.34;479;1341.24816862726;1296.86;701;585.766511062752;1202.51;468;20;4990;0;10;0;120;4290;0;0;25;150;2215;0;0;30;50;3445;0;10;0;5;2335;0;0;0
"102";14820;0;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";14820;0;345.167844896826;372;79;549.267381023412;661.61;491;0;0;0;0;0;0;0;0;0;2;150;0;0;6;2;684;0;296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";54;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";54;0;79.91;179.76;9;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";2394;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";2394;0;262.260761825023;113.41;396;34.9214515132708;81.45;3;0;0;0;0;0;0;0;0;0;0;786;0;0;6;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";0;127516;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";127516;0;392.6685867163;781.38;237;282.136279567035;634.94;231;230.004539500096;411.97;186;1792.21817491229;1375.81;412;243.520494100785;1726.76;730;0;1185;0;0;0;0;1140;0;15;0;0;930;0;0;0;0;2060;0;0;0;10;3640;0;0;0
"106";0;4232840;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";4232840;0;2202.98333211132;1296.01;617;1997.54609769959;2696.16;1613;5505.68023227922;2780.21;2380;6886.01698778846;5980.33;3756;7366.59343815403;4805.17;1958;30;3025;0;0;30;15;8035;0;0;15;55;11560;0;225;60;205;17085;0;1445;45;165;9310;0;285;30
"107";35520;751840;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";787360;0;2320.15575838882;1717.58;656;273.548837918902;688.7;343;485.2425911039;713.05;739;2896.42231061815;3325.67;2316;1072.91830232028;5123.81;1866;0;3205;0;45;30;5;1710;0;0;0;0;3685;0;10;0;35;10780;0;735;30;15;9215;0;100;0
"108";293040;0;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";293040;0;457.374918198734;771.98;476;544.642826633785;887.57;506;2175.46787753399;876.55;660;1792.32124858087;3026.68;864;535.572726712454;621.31;134;10;2370;0;0;0;35;2495;0;0;0;5;2735;0;560;0;45;4235;0;30;10;0;670;0;0;0
